m/z	S1
184.75927	401638
219.98397	372923
241.21758	516287
242.17641	2216562
243.96836	875562
244.98563	1851690
248.08001	436328
253.21779	590613
255.23318	4244258
256.23617	818943
265.14807	11979620
266.15147	1454566
267.14409	524795
269.24915	399273
279.16415	652112
280.98317	7396249
280.98775	1544346
281.98709	461478
283.26439	8264975
284.26768	1734495
293.17939	5848741
293.18427	1209990
294.18297	1011921
294.98292	876686
297.15321	2832829
298.15686	588668
309.17431	4808438
310.17737	646849
311.16876	8185572
312.1723	1570308
313.1651	470517
321.1743	2165299
321.21145	702015
322.1776	454479
325.18445	7327948
326.18754	1525032
335.1899	5498360
336.19345	1113508
337.20575	2005736
339.20004	4417087
340.20324	933858
341.27064	505890
344.97918	19448392
345.98282	1335231
351.18646	465893
353.20026	2748696
355.28529	609784
365.24646	1753079
366.30194	1118254
367.24251	563866
375.27556	1542938
380.97678	6282830
381.2311	1095822
381.9812	477255
393.2777	5599757
394.28125	1171962
394.97517	1076064
395.27512	1810532
396.27872	569001
397.22595	1030611
403.30669	4475977
403.31602	1056685
404.31025	1189038
420.25071	579067
420.29726	771210
422.97064	591497
429.29603	919938
437.24091	1106971
441.25223	525592
444.9727	22531764
445.97546	1949441
477.06725	1589463
554.26202	39856296
554.70336	658268
554.71575	670736
554.75188	608460
554.77597	694228
554.81207	671552
554.84877	678828
555.01794	633971
555.11506	743299
555.26474	12299251
556.26908	2195766
590.23599	673170
617.25588	1468270
618.26331	604977
