m/z	S3
99.65817	524063
107.40355	705610
110.86046	325953
112.72493	388959
209.086	372373
227.20199	851247
228.16057	509236
238.03059	441017
241.21749	1181213
242.17642	7013381
243.17987	928451
243.96857	435358
253.21761	2200491
254.2207	460452
255.23317	12199474
256.23639	2205541
265.14808	31571388
265.19941	591967
266.15146	4121529
267.14378	1254985
267.23322	599772
269.24897	1482466
270.20759	479167
277.13083	495438
279.16395	1139656
279.23275	728373
281.24878	3089253
282.2522	641011
283.26439	22737690
284.26763	4586268
293.17939	12157415
294.18293	2032992
295.17556	554809
297.15324	4791022
297.15825	1107151
298.15685	993103
301.23871	493007
309.17427	15774029
310.17766	2303012
311.1688	15580988
312.17228	2803691
313.16485	738146
321.21103	1211624
325.18441	15118850
326.18765	3093784
327.18054	599838
329.26904	569972
337.20558	5128711
338.20876	694241
339.20004	9590034
339.32726	510068
340.20338	1987440
341.19555	531758
341.2702	814098
353.20044	9608569
354.20369	1479680
355.19676	518384
355.28534	1146181
365.24653	4497228
366.25044	867335
367.24323	1461440
367.35791	765327
372.304	752886
374.24425	721405
375.27534	4692616
376.27922	968137
381.23162	2634808
382.23419	616498
389.29087	553121
390.29881	575616
393.27772	14317644
394.2812	3280305
395.27491	4659218
395.28385	1212758
396.27859	1273511
397.22642	3718687
398.2292	626614
403.30652	15574090
404.29342	1008207
404.31019	4017488
404.31935	926838
405.26608	517360
405.31174	525157
410.22064	1047792
414.32313	954825
420.25058	1500214
420.2971	1222623
425.25828	1124338
437.24071	1492111
441.25279	1324302
447.30849	622852
447.3344	572952
477.06726	4784492
477.08089	1062740
478.07182	1145917
490.22824	677982
536.24885	606481
553.74744	614514
553.75968	620166
554.26202	99533504
554.7639	1131081
555.10246	1343129
555.26493	29933582
556.26872	5622094
556.28593	1420051
557.26771	871121
566.26084	1532021
590.2355	1309085
611.28373	796868
617.25632	1446124
639.2406	683797
